file,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
AUTOMATIC1111_stable-diffusion-webui__on_pull_request.yaml,0.2639,1.0991,1.1763,0.0077,0.2714,0.0036,0.3329,13.6849,0.1257
AUTOMATIC1111_stable-diffusion-webui__run_tests.yaml,0.2718,1.048,1.1137,0.0053,0.2692,0.0181,0.344,17.2431,0.1183
AUTOMATIC1111_stable-diffusion-webui__warns_merge_master.yml,0.2657,0.009,1.2135,0.0053,0.2769,0.0063,0.3529,13.2363,0.1203
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.2771,0.6517,1.3649,0.0076,0.3322,0.0063,0.3958,13.0557,0.1301
Chalarangelo_30-seconds-of-code__label.yml,0.2647,0.4497,1.1521,0.0087,0.2477,0.0049,0.3142,12.951,0.1293
Chalarangelo_30-seconds-of-code__stale.yml,0.2647,0.4737,1.1512,0.0102,0.2642,0.0053,0.312,13.7696,0.1279
Chalarangelo_30-seconds-of-code__test.yml,0.2646,0.6467,2.2097,0.0098,0.2989,0.0042,0.3228,12.4586,0.1492
EbookFoundation_free-programming-books__check-urls.yml,0.2742,1.7392,1.1513,0.006,0.2573,0.0059,0.3056,16.6176,0.1271
EbookFoundation_free-programming-books__comment-pr.yml,0.2624,0.5886,1.1739,0.0054,0.2627,0.007,0.3586,17.7563,0.1298
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.2824,0.6274,1.1567,0.0055,0.2649,0.0053,0.3338,15.8499,0.1511
EbookFoundation_free-programming-books__fpb-lint.yml,0.2627,0.9689,1.1919,0.0059,0.2628,0.0071,0.3711,17.0183,0.124
EbookFoundation_free-programming-books__issues-pinner.yml,0.2681,0.5901,1.1336,0.0061,0.2608,0.0044,0.3191,13.0294,0.1269
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.267,1.0446,1.1344,0.0097,0.2646,0.0044,0.3469,13.5265,0.1329
EbookFoundation_free-programming-books__stale.yml,0.2634,0.431,1.2305,0.0046,0.2758,0.0053,0.3197,13.3657,0.1261
Genymobile_scrcpy__release.yml,0.2739,1.2675,1.325,0.0116,0.2401,0.0049,0.332,13.1166,0.1312
IBM_sarama__apidiff.yml,0.2666,0.0307,1.1012,0.0088,0.2543,0.0045,0.5377,13.7138,0.1309
IBM_sarama__cache-cleanup.yml,0.2596,0.01,1.1824,0.0055,0.2447,0.0053,0.3766,13.2846,0.1279
IBM_sarama__ci.yml,0.2625,0.0363,1.2901,0.0132,0.3469,0.0045,0.518,14.857,0.1221
IBM_sarama__codeql-analysis.yml,0.2606,0.0095,1.1674,0.0064,0.2501,0.0044,0.3273,14.9553,0.122
IBM_sarama__dependency-review.yml,0.2627,0.0106,1.0967,0.0061,0.2807,0.0045,0.3315,20.783,0.1206
IBM_sarama__fuzz.yml,0.2614,0.0284,1.1309,0.0051,0.2473,0.0062,0.3394,13.55,0.1179
IBM_sarama__fvt-main.yml,0.2654,0.0215,1.136,0.0048,0.2554,0.0057,0.3138,13.1708,0.1209
IBM_sarama__fvt-pr.yml,0.266,0.0103,1.1021,0.0055,0.2539,0.0037,0.3152,16.6733,0.1192
IBM_sarama__fvt.yml,0.2669,0.0212,1.1494,0.0075,0.2471,0.0081,0.3322,14.0503,0.1309
IBM_sarama__i386.yml,0.2112,0.0051,2.2446,0.0105,0.2559,0.0047,0.3151,13.5697,0.1521
IBM_sarama__scorecard.yml,0.2471,0.0217,1.1749,0.0063,0.2526,0.0039,0.4707,13.1377,0.1287
IBM_sarama__stale.yml,0.259,0.0171,1.1388,0.0064,0.2744,0.005,0.3411,18.3308,0.1326
NVIDIA_cutlass__blossom-ci.yml,0.2754,0.9486,1.1691,0.0062,0.2644,0.0044,0.3561,12.7359,0.1307
NVIDIA_cutlass__labeler.yml,0.273,0.6428,1.1283,0.006,0.2492,0.0071,0.3111,12.6,0.1137
NVIDIA_cutlass__new-issues-to-triage-projects.yml,0.2656,0.3567,4.3123,0.0048,0.2486,0.0046,0.3202,16.1728,0.1554
NVIDIA_cutlass__stale.yml,0.2652,0.5086,1.1499,0.0111,0.255,0.0044,0.3289,13.1762,0.1323
NVIDIA_k8s-device-plugin__basic-checks.yaml,0.267,0.0061,2.2763,0.0095,0.2609,0.0064,0.3298,14.0205,0.125
NVIDIA_k8s-device-plugin__ci.yaml,0.2678,0.006,1.1248,0.0057,0.2441,0.0041,0.3154,15.1088,0.1279
NVIDIA_k8s-device-plugin__code_scanning.yaml,0.2672,2.1785,1.2438,0.0051,0.2487,0.0075,0.328,13.9579,0.1216
NVIDIA_k8s-device-plugin__deploy-to-pages.yml,0.2626,1.6266,1.1532,0.0063,0.2471,0.0063,0.3256,14.3524,0.1179
NVIDIA_k8s-device-plugin__e2e.yaml,0.2695,2.0176,1.0846,0.0089,0.2575,0.0042,0.3028,14.2864,0.1312
NVIDIA_k8s-device-plugin__golang.yaml,0.2636,0.844,1.1455,0.0061,0.2425,0.0057,0.367,13.9882,0.1199
NVIDIA_k8s-device-plugin__helm.yaml,0.2644,0.7115,1.2153,0.0061,0.2596,0.0052,0.3234,13.8441,0.1303
NVIDIA_k8s-device-plugin__image.yaml,0.2798,1.0162,1.1419,0.0059,0.2521,0.0047,0.3142,14.1624,0.1272
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.2203,0.8307,1.3378,0.0107,0.3049,0.0076,0.3159,14.0069,0.1304
NVIDIA_k8s-device-plugin__release.yaml,0.2568,0.9402,1.0824,0.0046,0.2638,0.0063,0.3475,14.9772,0.1282
NVIDIA_k8s-device-plugin__stale.yaml,0.3026,0.3922,1.1654,0.0098,0.2875,0.0047,0.3326,14.2798,0.13
NVIDIA_k8s-device-plugin__variables.yaml,0.2685,0.4714,1.2912,0.0061,0.2365,0.0058,0.3327,14.4255,0.1192
Significant-Gravitas_AutoGPT__classic-autogpt-ci.yml,0.263,1.6117,1.1382,0.0051,0.2489,0.0119,0.3415,13.3871,0.1261
Significant-Gravitas_AutoGPT__classic-autogpt-docker-cache-clean.yml,0.2708,1.0011,1.1134,0.0117,0.2583,0.0045,0.3119,13.8791,0.1261
Significant-Gravitas_AutoGPT__classic-autogpt-docker-ci.yml,0.2645,1.1309,1.2838,0.0066,0.2363,0.0041,0.3892,12.9619,0.1333
Significant-Gravitas_AutoGPT__classic-autogpt-docker-release.yml,0.2624,1.289,1.1455,0.0056,0.2459,0.0037,0.4697,13.7424,0.1251
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.2707,0.7449,1.1494,0.0084,0.2585,0.0044,0.3206,12.3862,0.1285
Significant-Gravitas_AutoGPT__classic-benchmark-ci.yml,0.2637,1.2952,2.3304,0.0057,0.2479,0.0058,0.3307,13.1516,0.1182
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.2727,0.7956,1.1329,0.01,0.2785,0.0042,0.4243,13.7331,0.1276
Significant-Gravitas_AutoGPT__classic-forge-ci.yml,0.2701,1.6766,1.1496,0.0104,0.2682,0.0057,0.3238,13.9664,0.1756
Significant-Gravitas_AutoGPT__classic-frontend-ci.yml,0.2558,0.7982,1.1454,0.0052,0.2736,0.012,0.3104,15.0292,0.121
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.2678,1.1582,1.5416,0.0103,0.3343,0.0054,0.3979,16.5757,0.1324
Significant-Gravitas_AutoGPT__claude.yml,0.265,0.9621,1.2325,0.0078,0.2608,0.0036,0.3393,12.9546,0.118
Significant-Gravitas_AutoGPT__codeql.yml,0.2268,1.8817,1.1597,0.0061,0.2462,0.0075,0.381,16.009,0.1264
Significant-Gravitas_AutoGPT__platform-autgpt-deploy-prod.yml,0.2758,0.7603,1.1233,0.0124,0.2578,0.0041,0.3084,13.9834,0.1241
Significant-Gravitas_AutoGPT__platform-autogpt-deploy-dev.yaml,0.2633,0.8243,1.1541,0.0072,0.3189,0.007,0.337,14.6804,0.1254
Significant-Gravitas_AutoGPT__platform-backend-ci.yml,0.2629,1.5078,2.2556,0.0052,0.2552,0.0048,0.4147,13.4476,0.1192
Significant-Gravitas_AutoGPT__platform-dev-deploy-event-dispatcher.yml,0.2603,0.7147,1.1881,0.0066,0.2637,0.0052,0.3142,12.4591,0.1273
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.2676,1.8235,1.3729,0.0107,0.2528,0.0084,0.3183,12.698,0.131
Significant-Gravitas_AutoGPT__repo-close-stale-issues.yml,0.2709,0.5937,1.1777,0.0058,0.2596,0.0048,0.3233,15.7064,0.1255
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.2867,0.041,1.4211,0.0131,0.3509,0.0047,0.6616,13.0317,0.1319
Significant-Gravitas_AutoGPT__repo-pr-label.yml,0.261,1.7121,1.214,0.0063,0.2495,0.0054,0.3191,12.4396,0.1297
Significant-Gravitas_AutoGPT__repo-stats.yml,0.2675,0.6334,1.0789,0.0061,0.2447,0.0085,0.346,13.0368,0.1266
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.2514,0.5932,1.1238,0.0098,0.2692,0.0053,0.4719,13.3124,0.1259
Snailclimb_JavaGuide__test.yml,0.2031,0.9929,1.158,0.0053,0.3082,0.0093,0.3358,16.8671,0.1174
TheAlgorithms_Python__build.yml,0.2679,1.0469,1.1147,0.0096,0.273,0.0055,0.4755,14.3346,0.136
TheAlgorithms_Python__directory_writer.yml,0.2377,0.5695,1.2233,0.0057,0.2641,0.0196,0.3281,15.544,0.1228
TheAlgorithms_Python__project_euler.yml,0.2684,1.1861,1.1625,0.006,0.3932,0.0075,0.3166,12.8153,0.1161
TheAlgorithms_Python__ruff.yml,0.2251,0.9368,1.0959,0.0102,0.2434,0.0071,0.3141,12.8708,0.2177
TheAlgorithms_Python__sphinx.yml,0.2688,1.6494,1.2595,0.0119,0.3248,0.0057,0.4176,13.6429,0.1218
airbnb_javascript__node-pretest.yml,0.2575,0.6679,1.1454,0.0066,0.2465,0.0066,0.3335,16.2296,0.1164
airbnb_javascript__node.yml,0.2662,2.1761,1.1615,0.0085,0.2394,0.005,0.3522,13.403,0.1269
airbnb_javascript__rebase.yml,0.2595,0.7444,1.1491,0.0054,0.2508,0.0041,0.3246,13.5501,0.1273
airbnb_javascript__require-allow-edits.yml,0.2028,0.6061,1.1155,0.0071,0.3236,0.006,0.3196,13.5081,0.1359
alibaba_druid__ci.yaml,0.2742,1.4188,1.1488,0.007,0.2503,0.0069,0.3024,17.3963,0.1251
alibaba_ice__canary.yml,0.2674,1.0454,1.2919,0.0059,0.251,0.0046,0.3083,12.7159,0.1219
alibaba_ice__ci.yml,0.2128,1.207,1.1029,0.0073,0.2526,0.0047,0.3115,20.7609,0.1272
alibaba_ice__coverage.yml,0.2157,1.4554,1.222,0.0064,0.2766,0.0057,0.3262,13.4702,0.1242
alibaba_ice__release.yml,0.3007,1.4858,1.1837,0.0053,0.2784,0.0098,0.3235,14.1516,0.1209
alibaba_ice__version.yml,0.2551,1.5341,1.1328,0.0046,0.2792,0.0057,0.3311,15.6388,0.1215
alibaba_ice__website.yml,0.2701,1.1084,1.1233,0.0069,0.2526,0.0094,0.365,12.8114,0.1149
alibaba_tengine__ci-arm64.yml,0.2354,0.5887,1.8791,0.006,0.2523,0.0072,0.3301,13.307,0.1255
alibaba_tengine__ci.yml,0.2659,0.4052,1.1357,0.0061,0.2646,0.0044,0.3128,13.326,0.1345
alibaba_tengine__test-nginx-core.yml,0.2734,0.5026,1.1677,0.0074,0.3316,0.0048,0.3574,13.0311,0.1316
alibaba_tengine__test-ntls.yml,0.2678,0.3436,1.1923,0.013,0.2546,0.0049,0.3909,13.9987,0.1652
alibaba_transmittable-thread-local__ci.yaml,0.2714,0.7869,1.2201,0.0051,0.2684,0.0102,0.3255,14.1417,0.1242
alibaba_transmittable-thread-local__strong_ci.yaml,0.2713,1.0425,1.0919,0.01,0.2404,0.0066,0.3283,13.7027,0.1869
avelino_awesome-go__check-for-spammy-issues.yml,0.2307,0.462,1.3903,0.0097,0.277,0.0047,0.4899,14.4882,0.1327
avelino_awesome-go__pull-request-first-comment.yaml,0.2641,0.3634,1.155,0.005,0.2664,0.0046,0.3103,13.7949,0.1197
avelino_awesome-go__run-check.yaml,0.206,0.3799,1.0781,0.0063,0.2516,0.0042,0.3133,15.8216,0.1296
avelino_awesome-go__site-deploy.yaml,0.206,0.9954,1.1384,0.0136,0.2855,0.0043,0.3082,13.2807,0.1359
avelino_awesome-go__tests.yaml,0.2713,0.4515,1.3928,0.0114,0.2995,0.005,0.33,15.0647,0.1297
awslabs_amazon-ecr-credential-helper__build.yaml,0.2649,0.7222,1.2701,0.0076,0.2609,0.0038,0.3337,14.0124,0.1491
awslabs_amazon-ecr-credential-helper__check-links.yml,0.2037,0.8825,1.1354,0.0048,0.2561,0.0036,0.3131,16.9857,0.1264
awslabs_amazon-ecr-credential-helper__codeql.yml,0.2734,1.7806,1.1492,0.0054,0.265,0.0066,0.3296,14.3006,0.1208
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.266,0.4587,1.0878,0.0084,0.2664,0.0041,0.311,14.2555,0.126
awslabs_amazon-ecr-credential-helper__review-dependencies.yml,0.1986,0.889,1.1477,0.0079,0.2581,0.006,0.3282,18.3411,0.1214
axios_axios__ci.yml,0.2598,0.8374,1.1616,0.0062,0.2901,0.0034,0.3204,13.7175,0.128
axios_axios__codeql-analysis.yml,0.2656,1.9763,1.1268,0.01,0.2464,0.0048,0.3138,13.1509,0.1277
axios_axios__depsreview.yaml,0.2637,0.983,1.1993,0.0049,0.2395,0.0067,0.313,14.286,0.1354
axios_axios__labeler.yml,0.2634,0.6656,2.2801,0.005,0.2469,0.0057,0.3696,13.0691,0.1159
axios_axios__notify.yml,0.2613,0.6046,1.1039,0.0061,0.2654,0.008,0.3348,13.4326,0.1475
axios_axios__npm-tag.yml,0.2665,0.8351,1.1029,0.0054,0.2995,0.0058,0.3079,20.0132,0.1214
axios_axios__pr-guard.yml,0.2632,0.5674,1.2172,0.0063,0.2427,0.0075,0.3272,16.2155,0.1379
axios_axios__pr.yml,0.2695,1.4998,2.2947,0.0061,0.237,0.0048,0.3726,13.2537,0.1198
axios_axios__publish.yml,0.2764,1.5033,1.162,0.0063,0.2616,0.0056,0.3295,13.8409,0.1218
axios_axios__sponsors.yml,0.2557,0.8165,1.1119,0.0109,0.2467,0.0063,0.3412,13.8776,0.1581
axios_axios__stale.yml,0.2697,0.4734,1.1219,0.0076,0.2613,0.0058,0.2953,14.1404,0.125
d3_d3__deploy.yml,0.2669,1.4928,1.1417,0.0059,0.2584,0.0046,0.3145,11.6969,0.1395
d3_d3__test.yml,0.2653,0.7722,1.3469,0.0061,0.2586,0.0055,0.3154,13.2318,0.1297
denoland_deno__cargo_publish.yml,0.2623,1.2772,1.1606,0.0054,0.2417,0.0058,0.3469,13.2961,0.1314
denoland_deno__ci.yml,0.2845,5.1793,1.6861,0.0087,0.2861,0.0046,0.5838,13.4937,0.1411
denoland_deno__node_compat_test.yml,0.2584,1.6326,1.1366,0.0053,0.2458,0.0055,0.3209,13.2821,0.136
denoland_deno__npm_publish.yml,0.2485,1.1541,1.168,0.0054,0.2421,0.0066,0.31,16.594,0.1228
denoland_deno__post_publish.yml,0.2656,1.8147,1.2211,0.0067,0.2548,0.0069,0.3391,17.0629,0.1199
denoland_deno__promote_to_release.yml,0.2653,3.6813,1.1268,0.0099,0.2623,0.0041,0.3208,14.0294,0.1329
denoland_deno__start_release.yml,0.2857,1.0848,1.1598,0.0068,0.2976,0.0059,0.3982,13.7016,0.1563
denoland_deno__version_bump.yml,0.2726,1.2306,1.174,0.0069,0.2715,0.0039,0.3018,13.6457,0.1301
denoland_deno__wpt_epoch.yml,0.2052,1.3764,1.1202,0.0091,0.2412,0.0039,0.3662,14.9628,0.1213
electron_electron__archaeologist-dig.yml,0.2688,0.0313,1.1817,0.0056,0.2388,0.0045,0.3349,13.1559,0.1175
electron_electron__audit-branch-ci.yml,0.267,0.0095,2.4041,0.007,0.2564,0.0047,0.3314,14.3541,0.1594
electron_electron__branch-created.yml,0.2676,0.0219,1.1781,0.0051,0.2359,0.0048,0.2964,14.2986,0.1216
electron_electron__build-git-cache.yml,0.2715,0.0314,2.2252,0.0089,0.2836,0.0045,0.3343,14.248,0.1276
electron_electron__build.yml,0.251,0.029,1.2461,0.0067,0.2842,0.006,0.3276,17.8766,0.1391
electron_electron__clean-src-cache.yml,0.2647,0.0209,1.1369,0.0057,0.2573,0.0045,0.3235,13.5052,0.1874
electron_electron__issue-commented.yml,0.3141,0.0282,1.1612,0.0064,0.239,0.0038,0.4486,13.0184,0.1312
electron_electron__issue-labeled.yml,0.2573,0.0331,1.2018,0.0062,0.2585,0.0056,0.3096,14.5969,0.1219
electron_electron__issue-opened.yml,0.2098,0.0193,1.1979,0.0059,0.2441,0.0048,0.3537,13.4624,0.1218
electron_electron__issue-transferred.yml,0.2725,0.037,1.1484,0.0057,0.27,0.0045,0.3166,13.8137,0.1251
electron_electron__issue-unlabeled.yml,0.274,0.023,1.1787,0.0054,0.2524,0.0045,0.3171,17.2217,0.1229
electron_electron__linux-publish.yml,0.272,0.0165,1.0802,0.0095,0.2464,0.005,0.3969,13.4786,0.1349
electron_electron__macos-publish.yml,0.2294,0.0219,2.2265,0.0054,0.2542,0.0068,0.3159,15.4792,0.1229
electron_electron__non-maintainer-dependency-change.yml,0.2687,0.0209,1.2374,0.0075,0.256,0.0049,0.339,13.4348,0.1206
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.2147,0.0267,1.2431,0.0075,0.2548,0.0058,0.3884,13.0586,0.2121
electron_electron__pipeline-electron-build-and-test.yml,0.2099,0.0105,1.0875,0.0063,0.2964,0.0094,0.5127,16.6994,0.1299
electron_electron__pipeline-electron-docs-only.yml,0.2688,0.0182,1.149,0.0056,0.2954,0.0056,0.3232,12.8309,0.1216
electron_electron__pipeline-electron-lint.yml,0.267,0.0392,1.1634,0.0108,0.2547,0.0046,0.3042,13.6095,0.1219
electron_electron__pipeline-segment-electron-build.yml,0.2598,0.0421,1.2094,0.006,0.2358,0.0042,0.3224,15.7028,0.1328
electron_electron__pipeline-segment-electron-gn-check.yml,0.2874,0.0246,1.4985,0.008,0.2787,0.005,0.3884,14.1354,0.1318
electron_electron__pipeline-segment-electron-test.yml,0.2616,0.0202,1.2255,0.0059,0.2709,0.0055,0.3184,18.1336,0.1368
electron_electron__pipeline-segment-node-nan-test.yml,0.2746,0.0275,1.1267,0.009,0.2805,0.0052,0.3043,12.9405,0.1276
electron_electron__pull-request-labeled.yml,0.2772,0.0211,1.1186,0.0055,0.2597,0.0046,0.342,17.7951,0.1309
electron_electron__scorecards.yml,0.2637,0.0091,1.1531,0.0057,0.2557,0.01,0.3017,14.3577,0.1309
electron_electron__semantic.yml,0.2122,0.0168,1.1059,0.0051,0.2439,0.0051,0.4077,16.8486,0.1257
electron_electron__stable-prep-items.yml,0.2619,0.0084,1.1483,0.005,0.2536,0.0097,0.3355,16.1636,0.1248
electron_electron__stale.yml,0.264,0.0196,1.1305,0.007,0.2877,0.0099,0.3319,14.5883,0.1283
electron_electron__windows-publish.yml,0.2849,0.0294,1.1966,0.0088,0.2349,0.0042,0.3345,13.5223,0.1425
excalidraw_excalidraw__autorelease-excalidraw.yml,0.2785,0.9308,1.1738,0.0103,0.2553,0.0051,0.3152,14.0421,0.1252
excalidraw_excalidraw__autorelease-preview.yml,0.2616,1.1144,1.2506,0.0072,0.2503,0.0045,0.3448,13.4286,0.1241
excalidraw_excalidraw__build-docker.yml,0.2631,0.5342,1.2666,0.0065,0.2387,0.0072,0.3529,13.5231,0.1148
excalidraw_excalidraw__cancel.yml,0.2134,0.4583,1.1064,0.012,0.2703,0.0048,0.5002,13.4616,0.1283
excalidraw_excalidraw__lint.yml,0.2592,0.5718,1.1211,0.0054,0.2677,0.0034,0.3467,13.4595,0.1207
excalidraw_excalidraw__locales-coverage.yml,0.2785,0.7302,1.1732,0.009,0.2565,0.0035,0.3743,13.3765,0.1271
excalidraw_excalidraw__publish-docker.yml,0.2637,1.4498,1.6841,0.009,0.2507,0.0051,0.3187,12.9316,0.1419
excalidraw_excalidraw__semantic-pr-title.yml,0.2115,0.389,2.2307,0.0057,0.2452,0.0065,0.4305,20.2069,0.1232
excalidraw_excalidraw__sentry-production.yml,0.2652,0.6802,1.1706,0.0057,0.2356,0.0042,0.3408,12.9675,0.1191
excalidraw_excalidraw__size-limit.yml,0.2797,0.919,1.1069,0.0111,0.2894,0.0048,0.3964,13.9138,0.1243
excalidraw_excalidraw__test-coverage-pr.yml,0.2671,0.7734,1.5387,0.0051,0.2676,0.0085,0.3191,16.3541,0.1245
excalidraw_excalidraw__test.yml,0.269,0.6014,1.1775,0.0061,0.2516,0.0063,0.3511,13.2566,0.1185
f_awesome-chatgpt-prompts__ai_bot.yml,0.2679,1.1506,1.3603,0.0094,0.2435,0.0049,0.3229,14.5857,0.1343
f_awesome-chatgpt-prompts__auto_commands.yml,0.2652,0.598,1.1809,0.0069,0.2501,0.0039,0.3215,13.5356,0.154
f_awesome-chatgpt-prompts__csv_linter.yml,0.271,0.7282,1.1278,0.0061,0.3056,0.0065,1.3435,16.9609,0.1329
f_awesome-chatgpt-prompts__publish.yml,0.2613,1.4493,1.1508,0.0049,0.239,0.0093,0.3648,14.0228,0.1192
facebook_create-react-app__build-and-test.yml,0.2838,0.6176,1.1628,0.0055,0.2388,0.0071,0.3276,12.8142,0.1222
facebook_create-react-app__e2e-base.yml,0.2553,0.556,1.158,0.0053,0.2789,0.0059,0.334,18.1154,0.1264
facebook_create-react-app__lint.yml,0.2679,0.6706,1.0926,0.0091,0.2554,0.0045,0.32,13.528,0.1238
facebook_facebook-android-sdk__needs-attention.yml,0.2928,0.7903,1.1533,0.0057,0.2442,0.006,0.3093,13.0237,0.1457
facebook_facebook-android-sdk__stale.yml,0.2207,0.4878,1.1366,0.0059,0.2379,0.0055,0.3102,13.5143,0.1176
facebook_facebook-ios-sdk__needs-attention.yml,0.2936,0.7594,1.2263,0.0059,0.2385,0.0037,0.3175,12.3412,0.13
facebook_facebook-ios-sdk__stale.yml,0.2666,0.457,1.0846,0.0098,0.2966,0.0044,0.3418,13.0138,0.1372
facebook_fbthrift__getdeps_linux.yml,0.2838,1.1552,1.5055,0.0097,0.2459,0.0057,0.5532,13.3831,0.1428
facebook_fbthrift__getdeps_mac.yml,0.2864,1.0622,1.3104,0.0059,0.2548,0.0063,0.3391,13.0325,0.1257
facebook_fbthrift__getdeps_windows.yml,0.2744,1.1906,1.2273,0.0053,0.3106,0.005,0.338,14.7149,0.1357
facebook_folly__TagIt.yml,0.2643,1.0113,1.1489,0.0069,0.3014,0.0087,0.316,13.5952,0.1169
facebook_folly__getdeps_linux.yml,0.2735,1.1105,1.2709,0.0051,0.2574,0.0061,0.3347,13.5997,0.13
facebook_folly__getdeps_mac.yml,0.2647,1.3844,1.2512,0.0067,0.2371,0.0054,0.3226,20.9643,0.1307
facebook_folly__getdeps_windows.yml,0.2099,1.1321,1.1474,0.0061,0.2714,0.0046,0.3253,13.4428,0.1347
facebook_folly__oss-build-and-test.yml,0.2813,2.1945,1.8645,0.0098,0.2926,0.0069,0.4711,13.6787,0.1395
facebook_hhvm__ubuntu.yml,0.2681,0.6899,1.1732,0.0054,0.2494,0.0057,0.3823,13.4555,0.1181
facebook_mcrouter__build.yml,0.2604,0.5174,1.144,0.0079,0.2961,0.0052,0.3172,13.2772,0.1364
facebook_react-native__autorebase.yml,0.2735,0.5662,1.1015,0.0064,0.265,0.0059,0.3509,13.8904,0.1284
facebook_react-native__bump-podfile-lock.yml,0.2355,0.4444,1.2377,0.0061,0.2499,0.0044,0.3555,13.4126,0.1464
facebook_react-native__cache-reaper.yml,0.266,0.4075,1.191,0.0059,0.3376,0.0083,0.3205,19.2936,0.1329
facebook_react-native__check-for-reproducer.yml,0.2665,0.7517,1.1626,0.0058,0.2438,0.0052,0.3197,13.4484,0.1267
facebook_react-native__check-nightly.yml,0.2465,0.4172,1.1873,0.0061,0.2446,0.0047,0.3534,13.0767,0.1265
facebook_react-native__close-pr.yml,0.2586,0.522,1.1163,0.0052,0.2381,0.0043,0.3764,20.4637,0.1345
facebook_react-native__create-draft-release.yml,0.2072,0.7719,1.1096,0.0062,0.294,0.0048,0.3056,13.3864,0.1369
facebook_react-native__create-release.yml,0.2711,0.3973,1.1564,0.005,0.264,0.0061,0.3084,15.8491,0.1207
facebook_react-native__danger-pr.yml,0.2644,0.4501,1.1007,0.0057,0.2406,0.0044,0.3365,13.7264,0.1333
facebook_react-native__generate-changelog.yml,0.2694,1.0055,1.1383,0.0061,0.2463,0.0041,0.3173,13.8353,0.1329
facebook_react-native__monitor-new-issues.yml,0.2757,0.6628,1.158,0.0099,0.2986,0.0049,0.3561,14.1368,0.1201
facebook_react-native__needs-attention.yml,0.2642,0.9948,1.1496,0.0095,0.2406,0.0043,0.3498,12.8783,0.1275
facebook_react-native__nightly.yml,0.2921,0.4403,1.1718,0.0063,0.2663,0.0063,0.3207,13.2758,0.1212
facebook_react-native__on-issue-labeled.yml,0.2618,0.938,1.1081,0.009,0.2662,0.004,0.5612,14.1053,0.1285
facebook_react-native__prebuild-ios-core.yml,0.2747,1.64,1.1702,0.0064,0.2683,0.0052,0.2984,17.7637,0.129
