file,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
microsoft_TypeScript__new-release-branch.yaml,0.2713,0.9289,1.1333,0.0053,0.3278,0.0039,0.3263,13.8397,0.1315
microsoft_TypeScript__nightly.yaml,0.2732,0.0202,1.2606,0.0054,0.2733,0.0046,0.3066,13.447,0.1195
microsoft_TypeScript__pr-modified-files.yml,0.2603,0.0194,1.1663,0.0048,0.2604,0.0051,0.3106,13.8154,0.129
microsoft_TypeScript__release-branch-artifact.yaml,0.2719,0.0124,1.2831,0.0076,0.2369,0.0077,0.3417,13.925,0.1223
microsoft_TypeScript__scorecard.yml,0.2668,0.0121,1.2313,0.0049,0.259,0.0064,0.3195,17.6205,0.1168
microsoft_TypeScript__set-version.yaml,0.2283,0.7021,1.2045,0.0066,0.339,0.0041,0.3081,13.2752,0.1204
microsoft_TypeScript__sync-branch.yaml,0.2674,0.8471,1.4367,0.0073,0.2494,0.0079,0.3142,13.4557,0.136
microsoft_TypeScript__sync-wiki.yml,0.2604,0.0067,1.1788,0.0053,0.2401,0.0057,0.362,13.5006,0.1465
microsoft_TypeScript__twoslash-repros.yaml,0.2668,0.8488,1.2091,0.0065,0.2546,0.0052,0.3111,16.0598,0.1233
microsoft_TypeScript__update-package-lock.yaml,0.2627,0.0177,1.2334,0.0056,0.2469,0.0046,0.3169,15.0354,0.149
microsoft_terminal__addToProject.yml,0.2668,0.3813,1.2119,0.006,0.243,0.0065,0.3335,16.0767,0.1371
microsoft_terminal__spelling2.yml,0.2768,0.5201,1.1835,0.0061,0.2615,0.0041,0.3235,13.1869,0.129
microsoft_terminal__winget.yml,0.2637,0.0178,2.2196,0.0058,0.3423,0.008,0.3324,17.1465,0.1227
microsoft_vscode__basic.yml,0.267,0.8353,1.1701,0.0054,0.2542,0.0054,0.3538,12.6134,0.1318
microsoft_vscode__ci.yml,0.2511,1.0848,1.1861,0.0053,0.2592,0.0058,0.3283,13.7283,0.1302
microsoft_vscode__monaco-editor.yml,0.2652,0.9336,1.1883,0.0099,0.2495,0.0042,0.3827,13.166,0.1281
microsoft_vscode__no-package-lock-changes.yml,0.2677,0.0352,1.388,0.0105,0.2678,0.0046,0.6142,13.6147,0.1283
microsoft_vscode__no-yarn-lock-changes.yml,0.263,0.0114,1.1678,0.0055,0.2386,0.0059,0.317,12.652,0.1226
microsoft_vscode__telemetry.yml,0.2763,1.2191,1.2173,0.0059,0.3042,0.0057,0.3109,13.2532,0.1263
mrdoob_three.js__ci.yml,0.2773,0.0225,1.1197,0.0105,0.3941,0.0046,0.4312,13.347,0.1275
mrdoob_three.js__codeql-code-scanning.yml,0.2472,0.0223,2.2742,0.0066,0.2416,0.0051,0.3533,14.1285,0.1275
mrdoob_three.js__read-size.yml,0.2654,0.0068,1.1801,0.0046,0.2701,0.0055,0.3271,13.2774,0.1279
mrdoob_three.js__report-size.yml,0.2616,0.0121,1.4921,0.0065,0.2397,0.0087,0.3079,12.6727,0.1223
n8n-io_n8n__benchmark-destroy-nightly.yml,0.2707,0.0085,1.2225,0.0097,0.2565,0.0038,0.3303,13.7059,0.1292
n8n-io_n8n__benchmark-nightly.yml,0.2628,0.0222,1.2191,0.0099,0.2591,0.0043,0.7594,13.3753,0.127
n8n-io_n8n__check-documentation-urls.yml,0.2973,0.0188,1.0984,0.0103,0.3206,0.0052,0.3826,13.6397,0.123
n8n-io_n8n__check-pr-title.yml,0.2652,0.0076,1.2165,0.0093,0.2597,0.0049,0.3313,13.5533,0.133
n8n-io_n8n__check-run-eligibility.yml,0.2664,0.0067,1.1174,0.0102,0.2651,0.0047,0.3752,13.3076,0.1637
n8n-io_n8n__chromatic.yml,0.29,0.027,2.7684,0.0078,0.2527,0.0052,0.3126,13.0915,0.1293
n8n-io_n8n__ci-master.yml,0.3193,0.0061,1.1835,0.0056,0.2537,0.0051,0.3519,12.6013,0.1301
n8n-io_n8n__ci-postgres-mysql.yml,0.2434,0.0084,1.1452,0.0051,0.2467,0.0063,0.3216,13.6191,0.132
n8n-io_n8n__ci-pull-requests.yml,0.2716,0.9518,1.101,0.0095,0.2618,0.0059,0.4289,13.4302,0.232
n8n-io_n8n__docker-base-image.yml,0.2701,0.0242,1.2398,0.0052,0.2434,0.008,0.3251,13.503,0.1148
n8n-io_n8n__docker-build-push.yml,0.2702,0.0262,1.2361,0.0056,0.2498,0.0051,0.3549,13.735,0.1419
n8n-io_n8n__docker-images-benchmark.yml,0.2876,0.0345,1.1875,0.0054,0.256,0.0098,0.3389,13.3917,0.1291
n8n-io_n8n__e2e-flaky.yml,0.2096,0.0125,1.1384,0.0068,0.2516,0.0063,0.4094,13.121,0.1157
n8n-io_n8n__e2e-reusable.yml,0.2835,0.0216,1.5638,0.007,0.3158,0.0049,0.356,13.6994,0.14
n8n-io_n8n__e2e-tests-pr.yml,0.2667,0.03,2.2684,0.0108,0.2668,0.0049,0.3159,13.4698,0.1231
n8n-io_n8n__e2e-tests.yml,0.2568,0.0264,1.1495,0.0071,0.2466,0.0038,0.315,13.7964,0.129
n8n-io_n8n__linting-reusable.yml,0.268,0.0055,1.1867,0.0064,0.2645,0.0068,0.3213,13.3778,0.1207
n8n-io_n8n__notify-pr-status.yml,0.2351,0.0314,1.1158,0.0071,0.2634,0.0076,0.4212,13.7937,0.1316
n8n-io_n8n__release-create-pr.yml,0.2726,0.0189,1.1962,0.0049,0.2601,0.0067,0.3465,13.6412,0.1168
n8n-io_n8n__release-publish.yml,0.266,0.0228,1.1825,0.0069,0.2969,0.0066,0.3469,17.3013,0.13
n8n-io_n8n__release-push-to-channel.yml,0.2619,0.0151,1.1559,0.0106,0.248,0.0056,0.4698,14.0515,0.1591
n8n-io_n8n__security-trivy-scan-callable.yml,0.2736,0.0095,1.1709,0.0058,0.2805,0.0063,0.3698,17.4391,0.1315
n8n-io_n8n__test-workflows-callable.yml,0.2585,0.0065,1.1961,0.0078,0.2667,0.0046,0.305,13.3018,0.1348
n8n-io_n8n__test-workflows-nightly.yml,0.2587,0.0055,1.1213,0.0054,0.2792,0.0068,0.339,13.3968,0.1203
n8n-io_n8n__test-workflows-pr-approved.yml,0.3095,0.0262,1.1794,0.0058,0.2346,0.0054,0.3087,13.2566,0.1286
n8n-io_n8n__test-workflows-pr-comment.yml,0.2891,0.7419,1.1805,0.0055,0.2838,0.0072,0.3187,15.5138,0.1259
n8n-io_n8n__units-tests-reusable.yml,0.2683,0.0377,1.113,0.0096,0.2636,0.0048,0.3198,13.5651,0.1315
nodejs_node__auto-start-ci.yml,0.273,0.032,1.1711,0.01,0.3422,0.005,0.3221,13.6025,0.1338
nodejs_node__build-tarball.yml,0.2686,0.0048,1.157,0.0062,0.2438,0.0048,0.3262,13.1504,0.1467
nodejs_node__close-stale-feature-requests.yml,0.2586,0.0188,1.2537,0.0127,0.2633,0.0061,0.4069,13.6956,0.215
nodejs_node__close-stale-pull-requests.yml,0.2705,0.0087,1.1511,0.0085,0.2461,0.0063,0.3105,13.0237,0.1334
nodejs_node__close-stalled.yml,0.2202,0.0181,1.1191,0.0074,0.2551,0.0038,0.3118,12.7933,0.1255
nodejs_node__codeql.yml,0.2786,0.0138,1.1366,0.0056,0.311,0.004,0.3083,12.9705,0.1294
nodejs_node__comment-labeled.yml,0.2092,0.0102,1.1388,0.0048,0.2456,0.0042,0.328,13.1332,0.1972
nodejs_node__commit-lint.yml,0.266,0.029,1.2288,0.0046,0.2973,0.0052,0.3054,18.6642,0.1293
nodejs_node__commit-queue.yml,0.2621,0.0272,1.135,0.0059,0.2432,0.0081,0.3474,12.6958,0.1157
nodejs_node__coverage-linux-without-intl.yml,0.2693,0.023,1.0925,0.0061,0.4173,0.0057,0.3207,13.0427,0.1285
nodejs_node__coverage-linux.yml,0.2737,0.0377,1.3154,0.0095,0.2912,0.0063,0.3063,13.9318,0.1196
nodejs_node__coverage-windows.yml,0.2669,0.0181,1.1184,0.006,0.2923,0.006,0.3706,13.2737,0.12
nodejs_node__create-release-proposal.yml,0.2895,0.0327,1.0954,0.0094,0.2861,0.0049,0.5595,13.4935,0.1716
nodejs_node__daily-wpt-fyi.yml,0.212,0.0422,1.2173,0.0076,0.2496,0.0074,0.325,12.4715,0.1206
nodejs_node__daily.yml,0.2044,0.0323,1.1669,0.0064,0.2595,0.0044,0.3168,20.2353,0.1238
nodejs_node__doc.yml,0.2618,0.0258,1.0756,0.0091,0.2624,0.0041,0.3305,13.238,0.1206
nodejs_node__find-inactive-collaborators.yml,0.3001,0.0168,1.121,0.0059,0.3287,0.0037,0.3289,12.1391,0.1241
nodejs_node__find-inactive-tsc.yml,0.2774,0.0096,1.3246,0.0079,0.3473,0.0086,0.3354,18.0656,0.1491
nodejs_node__label-flaky-test-issue.yml,0.2623,0.0081,1.1335,0.0077,0.2468,0.0041,0.3439,13.2686,0.1312
nodejs_node__label-pr.yml,0.2704,0.0301,1.1652,0.0075,0.238,0.0033,0.3007,16.85,0.1241
nodejs_node__license-builder.yml,0.2664,0.0199,2.4086,0.0099,0.2432,0.0089,0.3291,13.2698,0.1338
nodejs_node__lint-release-proposal.yml,0.2639,0.0344,1.2736,0.0068,0.2374,0.0041,0.3085,13.7852,0.133
nodejs_node__linters.yml,0.2643,0.0362,1.1767,0.0052,0.2603,0.0053,0.3191,13.2239,0.1297
nodejs_node__major-release.yml,0.272,0.0197,1.1226,0.0061,0.2574,0.0047,0.3194,15.855,0.1325
nodejs_node__notify-on-push.yml,0.2023,0.0322,1.1758,0.0054,0.2455,0.0039,0.3248,13.1051,0.1278
nodejs_node__notify-on-review-wanted.yml,0.2695,0.0173,2.3539,0.0063,0.266,0.0082,0.3241,15.6163,0.1315
nodejs_node__scorecard.yml,0.2115,0.03,1.4885,0.0081,0.2678,0.0044,0.3202,13.0777,0.1325
nodejs_node__test-internet.yml,0.2048,0.0304,1.1855,0.0055,0.2418,0.0044,0.3473,12.9767,0.1254
nodejs_node__test-linux.yml,0.2538,0.0168,1.2135,0.0052,0.2539,0.0092,0.3594,15.2663,0.1194
nodejs_node__test-macos.yml,0.2645,0.0223,2.2825,0.0099,0.2743,0.005,0.3519,13.7097,0.1272
nodejs_node__timezone-update.yml,0.2701,0.0114,1.1864,0.01,0.318,0.0048,0.576,13.2303,0.1293
nodejs_node__tools.yml,0.2676,0.006,1.1605,0.0092,0.2527,0.0053,0.4608,13.3283,0.1377
nodejs_node__update-openssl.yml,0.2217,0.0065,1.1292,0.0078,0.2809,0.004,0.3574,12.7925,0.1272
nodejs_node__update-release-links.yml,0.2712,0.0078,1.1197,0.0062,0.2587,0.0045,0.3255,13.4605,0.1337
nodejs_node__update-v8.yml,0.2697,0.0297,1.1421,0.0062,0.3087,0.0034,0.3362,13.4577,0.1223
nodejs_node__update-wpt.yml,0.2038,0.0224,1.0883,0.0082,0.2687,0.0042,0.3393,13.5993,0.1301
ohmyzsh_ohmyzsh__dependencies.yml,0.203,1.1368,1.1027,0.0053,0.2575,0.0049,0.3065,13.9784,0.1294
ohmyzsh_ohmyzsh__installer.yml,0.2642,0.4147,1.11,0.0056,0.2446,0.0065,0.3275,18.8706,0.1268
ohmyzsh_ohmyzsh__main.yml,0.2728,0.3852,1.1923,0.0054,0.2619,0.006,0.3712,20.2704,0.1707
ohmyzsh_ohmyzsh__project.yml,0.2676,0.3757,2.3114,0.0069,0.2484,0.0037,0.3056,14.471,0.1342
ollama_ollama__latest.yaml,0.2603,0.7093,1.1722,0.0052,0.2516,0.0062,0.3328,14.1531,0.1142
ollama_ollama__release.yaml,0.294,2.7285,1.385,0.0093,0.3159,0.0049,0.3588,13.3559,0.1787
ollama_ollama__test.yaml,0.2723,1.4964,1.2013,0.007,0.2791,0.0032,0.3232,14.4533,0.1314
open-webui_open-webui__build-release.yml,0.2658,0.894,1.145,0.0062,0.244,0.0036,0.3533,13.9261,0.1323
open-webui_open-webui__deploy-to-hf-spaces.yml,0.2774,0.3711,1.1228,0.0062,0.2568,0.0066,0.3163,17.1281,0.1204
open-webui_open-webui__docker-build.yaml,0.255,2.7624,1.2134,0.0096,0.2568,0.0074,0.31,17.7457,0.1472
open-webui_open-webui__format-backend.yaml,0.2066,1.8798,1.1797,0.0056,0.2527,0.0068,0.3292,14.438,0.1202
open-webui_open-webui__format-build-frontend.yaml,0.2591,0.6857,1.1947,0.0054,0.2485,0.0046,0.3143,14.1855,0.1235
open-webui_open-webui__release-pypi.yml,0.2484,1.5269,1.2887,0.0055,0.2472,0.0052,0.3404,13.6041,0.1279
oracle_docker-images__build-and-push-dev-images.yml,0.2866,1.3408,1.1344,0.0052,0.2859,0.0043,0.3491,13.5654,0.1458
oracle_docker-images__build-and-push-instantclient-images.yml,0.308,0.4347,1.227,0.0082,0.306,0.0057,0.3166,17.7987,0.1731
oracle_docker-images__build-and-push-nosql-image.yml,0.2506,1.3949,1.1126,0.0048,0.2473,0.0065,0.3056,12.1162,0.1346
oracle_docker-images__build-and-push-nosql-sec-image.yml,0.264,1.7106,1.1312,0.0053,0.254,0.0071,0.3124,15.6913,0.1139
oracle_docker-images__build-and-push-oci-cli-image.yml,0.2623,1.983,1.2356,0.0059,0.2661,0.006,0.4006,13.51,0.1196
oracle_docker-images__super-linter.yml,0.2657,0.8307,1.1232,0.0061,0.252,0.0047,0.3123,14.215,0.1204
oracle_graal__cdt-inspect.yml,0.2658,0.73,1.1283,0.0056,0.2609,0.0073,0.3201,13.3867,0.1165
oracle_graal__main.yml,0.3644,1.222,2.1088,0.0909,0.4594,0.0539,0.821,19.5654,0.1481
oracle_graal__micronaut.yml,0.2697,0.5382,1.1568,0.0081,0.2548,0.0048,0.3367,12.824,0.128
oracle_graal__ni-layers.yml,0.2737,1.1479,1.1723,0.0059,0.26,0.0046,0.3272,13.3844,0.1249
oracle_graal__quarkus.yml,0.2725,1.3454,1.1647,0.0117,0.2563,0.0049,0.3079,13.677,0.2137
oracle_graal__reachability-metadata.yml,0.2578,0.7991,1.1897,0.0057,0.2648,0.0059,0.3407,13.9181,0.1328
oracle_graal__spring.yml,0.2012,0.5386,1.2072,0.0056,0.2597,0.0048,0.3518,14.2108,0.1191
oracle_opengrok__apiary.yml,0.2635,0.6247,1.1115,0.0092,0.2955,0.0047,0.3272,13.8248,0.1254
oracle_opengrok__build.yml,0.271,1.1487,1.1362,0.0061,0.2856,0.0053,0.3341,12.546,0.1189
oracle_opengrok__codeql-analysis.yml,0.2829,2.9255,1.1866,0.0114,0.2664,0.0051,0.46,13.5787,0.1267
oracle_opengrok__docker.yml,0.2701,0.6032,1.1086,0.005,0.2353,0.0082,0.3586,14.3216,0.1286
oracle_opengrok__javadoc.yml,0.2721,0.9942,1.0922,0.0056,0.3521,0.0055,0.3091,13.0017,0.1323
oracle_opengrok__release.yml,0.2057,1.2583,1.1238,0.0083,0.2508,0.0051,0.5203,13.6856,0.1269
oracle_truffleruby__ci.yml,0.2682,1.7494,1.195,0.0082,0.2445,0.0042,0.3137,12.632,0.1298
oracle_truffleruby__prism.yml,0.2514,1.368,2.2338,0.0062,0.2527,0.0037,0.3123,13.6914,0.1172
ossu_computer-science__delete-empty-issues.yml,0.2639,0.4854,1.1755,0.0082,0.2762,0.0039,0.3633,13.7623,0.129
public-apis_public-apis__test_of_push_and_pull.yml,0.2722,0.5566,1.0575,0.0101,0.2495,0.0053,0.847,13.4787,0.1705
public-apis_public-apis__test_of_validate_package.yml,0.2632,0.6202,1.217,0.0072,0.2918,0.0081,0.3289,14.6249,0.1267
public-apis_public-apis__validate_links.yml,0.263,0.6242,1.2381,0.0051,0.2489,0.0072,0.3177,16.6974,0.117
rust-lang_rust__ci.yml,0.2172,0.7253,1.2632,0.0094,0.2622,0.0078,0.3369,13.6237,0.1338
rust-lang_rust__dependencies.yml,0.266,0.9082,1.1617,0.0086,0.2601,0.0043,0.3465,13.0469,0.1354
rust-lang_rust__ghcr.yml,0.2639,0.38,1.1506,0.0076,0.2856,0.0054,0.3067,17.7569,0.1241
rust-lang_rust__post-merge.yml,0.2084,0.5176,1.1492,0.0059,0.265,0.0041,0.3446,13.1726,0.1313
sindresorhus_awesome__main.yml,0.2686,0.3956,1.1651,0.0053,0.2589,0.005,0.3433,12.8526,0.1184
tensorflow_tensorflow__arm-cd.yml,0.2017,0.009,1.1841,0.0064,0.2618,0.0051,0.3342,12.5032,0.1269
tensorflow_tensorflow__arm-ci-extended-cpp.yml,0.2637,0.0221,1.1394,0.0064,0.2527,0.0068,0.3124,12.9855,0.1293
tensorflow_tensorflow__arm-ci-extended.yml,0.29,0.0281,1.1928,0.0076,0.2629,0.0051,0.3125,13.3814,0.1332
tensorflow_tensorflow__arm-ci.yml,0.2826,0.0195,1.189,0.006,0.2311,0.0039,0.3123,21.4029,0.1252
tensorflow_tensorflow__cffconvert.yml,0.2646,0.0072,1.106,0.0084,0.3158,0.0041,0.3191,13.2356,0.1344
tensorflow_tensorflow__issue-on-pr-rollback.yml,0.2711,0.0286,1.1452,0.006,0.2432,0.0052,0.3326,15.5732,0.1181
tensorflow_tensorflow__osv-scanner-scheduled.yml,0.1944,0.5593,1.1556,0.0054,0.2528,0.0047,0.3507,17.0862,0.1216
tensorflow_tensorflow__pylint-presubmit.yml,0.2704,0.0084,1.094,0.0048,0.3085,0.008,0.3513,12.9917,0.112
tensorflow_tensorflow__release-branch-cherrypick.yml,0.2672,0.0342,1.1626,0.0059,0.2515,0.0066,0.4145,13.4162,0.2014
tensorflow_tensorflow__scorecards-analysis.yml,0.2587,0.0205,1.1161,0.0069,0.255,0.0042,0.3011,12.7374,0.1296
tensorflow_tensorflow__stale-issues.yml,0.2681,0.0356,1.1461,0.0049,0.2527,0.0039,0.414,13.0071,0.1299
tensorflow_tensorflow__update-nightly.yml,0.2749,0.0201,1.5519,0.0099,0.2972,0.0042,0.4722,13.7606,0.1345
tensorflow_tensorflow__update-rbe.yml,0.2835,0.0183,1.3791,0.0143,0.3105,0.0059,0.4143,13.5062,0.126
trekhleb_javascript-algorithms__CI.yml,0.2068,0.8502,1.0663,0.007,0.2941,0.0058,0.3529,14.0289,0.1244
twbs_bootstrap__browserstack.yml,0.268,0.6614,1.1595,0.0066,0.2788,0.0038,0.3716,14.701,0.1266
twbs_bootstrap__bundlewatch.yml,0.2687,0.6274,1.1567,0.0057,0.2504,0.0046,0.32,13.1717,0.1661
twbs_bootstrap__calibreapp-image-actions.yml,0.269,0.6984,2.2267,0.0088,0.2588,0.005,0.332,12.4017,0.1249
twbs_bootstrap__codeql.yml,0.2572,2.8469,1.2794,0.0091,0.2517,0.0046,0.3119,12.816,0.1285
twbs_bootstrap__cspell.yml,0.2141,0.7478,2.2668,0.005,0.2852,0.0064,0.3352,15.6659,0.1251
twbs_bootstrap__css.yml,0.2588,0.6346,1.1376,0.0103,0.2686,0.0051,0.3708,13.4838,0.1806
twbs_bootstrap__docs.yml,0.1976,0.88,2.2662,0.0093,0.2469,0.005,0.3306,13.2279,0.214
twbs_bootstrap__issue-close-require.yml,0.2632,0.4175,1.1589,0.0051,0.2961,0.0056,0.3741,12.9274,0.116
twbs_bootstrap__issue-labeled.yml,0.2634,0.3874,1.315,0.009,0.2983,0.0069,0.381,12.9484,0.1646
twbs_bootstrap__js.yml,0.2657,0.8835,1.1562,0.0072,0.2748,0.0043,0.3194,23.9316,0.1282
twbs_bootstrap__lint.yml,0.2753,0.702,1.2523,0.0085,0.2906,0.0088,0.4368,13.8205,0.1454
twbs_bootstrap__node-sass.yml,0.2073,0.6527,1.1505,0.0052,0.238,0.0083,0.4215,12.7869,0.1195
twbs_bootstrap__release-notes.yml,0.2152,0.4549,4.5534,0.0048,0.2414,0.0043,0.3367,14.6642,0.1291
vercel_next.js__build_and_deploy.yml,0.2762,2.5605,1.2415,0.0056,0.2455,0.004,0.3534,13.7356,0.1407
vercel_next.js__build_and_test.yml,0.2136,0.7884,2.4364,0.0109,0.3387,0.0059,0.5874,13.4905,0.1631
vercel_next.js__build_reusable.yml,0.2653,1.3581,1.1647,0.0103,0.2657,0.0053,1.37,14.6177,0.1778
vercel_next.js__cancel.yml,0.2635,0.3859,1.1833,0.0055,0.2682,0.0066,0.3268,17.8512,0.1198
vercel_next.js__code_freeze.yml,0.2708,0.4553,1.172,0.0069,0.2644,0.0052,0.3246,13.6788,0.1285
vercel_next.js__force_merge_canary_release_pr.yml,0.2091,0.0124,1.1504,0.0062,0.2838,0.0087,0.3356,12.9063,0.1126
vercel_next.js__graphite_ci_optimizer.yml,0.2455,0.6204,1.1428,0.0108,0.2607,0.005,0.5295,13.1311,0.1345
vercel_next.js__integration_tests_reusable.yml,0.2666,0.6428,1.1777,0.0059,0.2486,0.0081,0.3207,15.0141,0.1269
vercel_next.js__issue_bankrupt.yml,0.2771,0.589,1.1273,0.006,0.2536,0.0033,0.3446,12.97,0.1237
vercel_next.js__issue_lock.yml,0.267,0.3249,1.2431,0.0053,0.2706,0.0054,0.3122,19.6522,0.1318
vercel_next.js__issue_stale.yml,0.2652,0.5226,1.1397,0.0055,0.2433,0.009,0.327,15.7778,0.122
vercel_next.js__issue_version.yml,0.3033,0.6021,1.1152,0.0057,0.2597,0.0055,0.3276,17.0734,0.1763
vercel_next.js__issue_wrong_template.yml,0.3152,0.6858,1.8514,0.0068,0.2669,0.0036,0.3859,14.9503,0.1295
vercel_next.js__notify_release.yml,0.2645,0.7866,1.2047,0.0056,0.2464,0.0094,0.33,18.0282,0.1265
vercel_next.js__popular.yml,0.3111,0.7965,1.1808,0.0064,0.2372,0.0047,0.3321,13.0613,0.1306
vercel_next.js__pull_request_stats.yml,0.2639,1.2454,4.3336,0.0057,0.2568,0.0058,0.3015,13.4218,0.12
vercel_next.js__retry_deploy_test.yml,0.2627,0.4183,1.2046,0.0049,0.2483,0.0042,0.341,19.8287,0.1235
vercel_next.js__retry_test.yml,0.2801,0.5178,2.213,0.0096,0.2724,0.0051,0.3088,13.5128,0.1342
vercel_next.js__rspack-nextjs-build-integration-tests.yml,0.266,0.0054,1.4081,0.0079,0.2532,0.0046,0.3357,13.1782,0.1356
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.2685,0.0051,1.1304,0.0053,0.2922,0.0066,0.3332,13.2305,0.1236
vercel_next.js__rspack-update-tests-manifest.yml,0.2622,0.6229,1.1471,0.0054,0.237,0.0059,0.3093,12.7302,0.1283
vercel_next.js__setup-nextjs-build.yml,0.2664,2.2031,1.1418,0.0065,0.2889,0.0053,0.337,16.7522,0.1221
vercel_next.js__test-turbopack-rust-bench-test.yml,0.263,0.7028,1.2321,0.0101,0.2521,0.0038,0.3172,13.3466,0.129
vercel_next.js__test_e2e_deploy_release.yml,0.2179,0.9381,1.2279,0.01,0.2952,0.005,0.4133,13.7546,0.1335
vercel_next.js__test_examples.yml,0.2605,1.1602,2.2244,0.0054,0.2504,0.0045,0.3137,12.9792,0.1413
vercel_next.js__triage.yml,0.213,0.3917,1.2233,0.0052,0.2401,0.0084,0.3153,15.4722,0.1123
vercel_next.js__triage_with_ai.yml,0.2708,0.9374,1.1605,0.0056,0.3044,0.0039,0.3103,16.5196,0.1213
vercel_next.js__trigger_release.yml,0.2627,0.6334,2.3655,0.0069,0.2631,0.004,0.7967,13.7613,0.1322
vercel_next.js__trigger_release_new.yml,0.2711,1.3859,1.1626,0.0049,0.2674,0.0055,0.32,14.677,0.1316
vercel_next.js__turbopack-benchmark.yml,0.2608,1.2048,1.1252,0.0055,0.344,0.0039,0.3185,12.5698,0.1266
vercel_next.js__turbopack-nextjs-build-integration-tests.yml,0.2615,0.0301,1.1762,0.0112,0.2473,0.004,0.342,13.1382,0.1301
vercel_next.js__turbopack-nextjs-dev-integration-tests.yml,0.239,0.0126,1.1008,0.0055,0.2793,0.0074,0.3098,17.3691,0.1249
vercel_next.js__turbopack-update-tests-manifest.yml,0.2684,0.6706,1.2566,0.0061,0.328,0.0057,0.3192,12.8257,0.1272
vercel_next.js__update_fonts_data.yml,0.2806,0.8197,1.1372,0.0064,0.311,0.004,0.3372,12.9797,0.1381
vercel_next.js__update_react.yml,0.2715,0.61,1.1195,0.0057,0.2717,0.0049,0.3235,15.2652,0.1311
vercel_next.js__upload-tests-manifest.yml,0.2704,0.6943,1.2277,0.0056,0.2473,0.0057,0.3242,13.2937,0.1298
vuejs_vue__ci.yml,0.2624,1.8019,1.127,0.0072,0.2694,0.0054,0.3214,13.2495,0.14
vuejs_vue__release-tag.yml,0.2077,0.8228,1.2331,0.0056,0.2398,0.0044,0.3183,15.3285,0.143
yangshun_tech-interview-handbook__lint.yml,0.2756,0.7046,1.1149,0.0052,0.2433,0.0059,0.329,12.9783,0.1258
yangshun_tech-interview-handbook__tsc.yml,0.2691,0.8123,1.1544,0.0066,0.2415,0.0059,0.3645,12.8822,0.1307
yt-dlp_yt-dlp__build.yml,0.2761,1.6688,1.2153,0.0056,0.2545,0.0037,0.35,13.4615,0.1351
yt-dlp_yt-dlp__codeql.yml,0.2503,2.7864,1.1921,0.005,0.2827,0.0036,0.3761,13.9356,0.126
yt-dlp_yt-dlp__core.yml,0.2712,0.6514,2.3077,0.0058,0.247,0.007,0.3162,15.1616,0.1287
yt-dlp_yt-dlp__download.yml,0.2622,0.6078,4.2932,0.006,0.2502,0.0063,0.3496,12.9075,0.1356
yt-dlp_yt-dlp__issue-lockdown.yml,0.262,0.0214,1.1237,0.0092,0.2554,0.0052,0.3535,13.2918,0.1249
yt-dlp_yt-dlp__quick-test.yml,0.2686,0.5479,1.3107,0.0096,0.3168,0.0081,0.4726,15.5909,0.1303
yt-dlp_yt-dlp__release-master.yml,0.2209,1.0984,1.1689,0.0059,0.2889,0.0034,0.3573,14.8497,0.1294
yt-dlp_yt-dlp__release-nightly.yml,0.2577,1.1126,1.265,0.0055,0.2573,0.0047,0.3467,13.4359,0.1201
yt-dlp_yt-dlp__release.yml,0.2058,1.6554,1.2405,0.0059,0.2418,0.0073,0.4421,13.6978,0.1314
yt-dlp_yt-dlp__sanitize-comment.yml,0.267,0.4518,1.1307,0.0102,0.2798,0.0036,0.3233,13.7459,0.1208
ytdl-org_youtube-dl__ci.yml,0.2854,1.5617,1.2958,0.0089,0.3294,0.0051,0.7055,13.6838,0.1412
